Indicador,Formación bruta de capital fijo,Talento,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Notarías,Tasa de homicidios,Tasa de reforestación anual,Fuentes de energía no contaminantes,Emergencias ambientales,Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Relación de la producción agrícola y consumo de agua en la agricultura,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Porcentaje de disposición de residuos sólidos en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Coeficiente de desigualdad en los ingresos,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Tasa neta participación laboral mujer,Ingreso promedio de la mujer,Presencia de la mujer en el congreso,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Pasivos promedio del gobierno,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,Índice Molinar,Elasticidad Salario-PIB,Salarios promedio,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Venta de inmuebles,Productividad neta de los activos,Disponibilidad de capital,Densidad de las tierras agrícolas por trabajador,Porcentaje de hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Porcentaje de hogares que cuentan con internet,Penetración informática,Cobertura de la banca,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Número de vuelos (operaciones / 1000 PEA),Destinos aéreos ,Densidad de transporte público,Tamaño del mercado hipotecario,Penetración del sistema financiero privado,"Presencia de la banca comercial (oficinas /100,000 hbt)",Penetración del seguro en la economía,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Mercado informal,Flujo de extranjeros,Ingresos por turismo,Intercambio comercial con el exterior,Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Coeficiente de invención,Empresas con ISO 9000,Número de investgadores
Sonora,41.0552011562,47.3947750291,12.9190641939,59.4803826561,46.8085106383,63.6363636364,35.7142857143,30.8411214953,46.9620253165,53.0664034817,80.1052654598,3.4617005906,32.6865213178,80.701754386,5.3095764797,14.3163778448,0.2620137569,94.9152620458,26.1700878753,47.167199504,56.7508831924,74.0550420278,63.4479253639,77.4246167996,80.8889579341,79.6982662551,75.6159993057,59.3025302758,16.3181397847,31.1111111111,89.0623738131,48.9361702128,0,3.7609703902,97.0522153876,7.0671180999,75.2605465235,0,74.8889944448,0,31.2727272727,0,43.2525951557,48.266639753,28.2049239635,54.3328748281,54.0376520237,70.2536211474,#DIV/0!,45.4310407509,37.7099978325,33.9360933504,31.5579080229,22.180814473,44.2418426104,100,69.1489193657,26.1398324922,23.2700537381,79.6983758701,14.3676897275,25.672621063,28.813559322,12.8940581958,25.3549641846,16.0123769403,56.2705423655,26.3931994495,7.8363488491,59.5296406624,91.96850986,99.6604447666,69.1424578217,68.7491796824,53.4042105508,12.3236846327,89.0867984104,0,348.898511763,99.8765418192,1.5465533012,12.0644392939,27.1403201859,27.5896354127,23.2556923995,25.7597361432,60.7928824777,17.8412198334,11.4666832043,16.63918406
Tabasco,20.8166121656,31.1694290543,78.6816296044,9.3961128717,75.1773049645,82.6446280992,82.8571428571,44.3925233645,30.6329113924,27.8120305641,93.3695260579,5.3147073222,100,56.1403508772,8.5518233915,100,3.3959501167,3.8420351543,10.7729226732,33.3996312013,53.9997480892,8.7281911905,41.946491451,55.6771358827,73.7394306974,84.5853992337,68.6242653328,0,44.3331528151,17.9487179487,72.1255763916,58.5106382979,82.6347305389,8.702692115,68.1591742917,4.0425575185,35.263503519,88.0478113821,74.2055744806,86.4262990456,16.7272727273,0,76.124567474,32.0234436856,84.1412636049,33.9752407153,18.6729605683,53.028543552,#DIV/0!,7.6771384946,0.5853287388,14.5726478456,4.8418453773,3.5029844387,35.1247600768,10.777675284,25.5048410912,8.3014121292,6.704343303,98.6658932715,8.0814853776,11.8040891213,13.5593220339,14.4680298199,2.4339978158,15.2376531432,26.2817498867,7.3665002418,11.3690548349,81.9008350083,91.96850986,99.4850381595,32.414894679,65.6254101588,100,16.7536889542,104.1665812241,12.5520617837,666.4586819434,99.799574805,0.1813529415,3.3021216542,1.1086468877,2.8048457704,0,75.7494763817,20.8826804196,9.8891305849,20.304790442,4.8736044061
Tamaulipas,36.282129394,47.6282556301,16.2998472166,29.3507205474,0,9.9173553719,37.1428571429,48.1308411215,44.8734177215,40.1843898255,92.2344350836,2.7750596034,0,0,7.2821509995,35.7328797813,2.0136356464,37.9230581458,34.437097526,70.5183312263,63.8847637674,75.7094747416,57.8901513776,62.1560937567,78.3285158289,42.9340711593,90.0141999566,56.2744048912,0,46.6666666667,81.108476817,75.5319148936,71.8562874251,9.3555910823,69.1303723784,10.8658119866,83.4042226648,90.6334194682,70.8315700827,88.441145281,60.3636363636,0,38.7543252595,9.2273971662,83.022435379,55.8459422283,9.2911559184,67.7161824458,#DIV/0!,45.7993795457,45.4833595249,44.6473489175,100,14.8226044888,48.1765834933,53.0117300752,46.1739359561,23.4369788199,10.1940955411,98.5498839907,16.9537233603,13.6854098166,18.6440677966,16.6100450191,54.5870707401,1.3362342329,53.78889029,19.0109265966,17.5519039776,55.3798599476,88.0701426352,99.2035886345,53.5489667565,56.2541015881,81.6954458334,16.7536889542,93.8155130817,0,623.5451454326,99.8716839522,5.9639679318,12.7938479908,64.0482062801,6.9791369406,25.8409054209,35.8975507283,57.1811080494,19.1828440111,19.7854437041,3.9352390927
Tlaxcala,9.1784258743,25.9291348635,87.4381945927,39.4148646415,29.0780141844,15.7024793388,20,56.0747663551,87.7848101266,8.3994325811,97.0092622776,35.1739773633,47.0219304361,100,2.6430558971,52.1641631706,1.4017028712,43.3518321159,6.9989468778,86.8787464417,37.2907181364,79.8919653728,88.4597233819,1.7969866818,0,51.2131131759,64.7722616395,59.8257366598,29.4470948972,77.7777777778,62.5837695215,72.8723404255,90.4191616766,18.2594632277,80.0606623209,5.4170591831,82.1951079392,100,63.0482655255,57.5856053091,100,0,79.9307958478,96.7295827812,69.3196211144,16.265474553,9.5873038438,56.1365198542,#DIV/0!,21.5206703325,18.3396469989,1.8568450028,19.0315132074,5.6552141773,5.7581573896,11.1063045153,21.4828987386,26.9804448081,20.5656236668,100,39.1964851023,0,0,34.5207751426,6.639993604,4.1923735656,18.9704700971,13.6237757796,0,39.7540378881,92.658549314,99.4498115738,65.977837676,62.5016406353,63.4884604983,0,104.1665812241,28.5727888925,838.1128279869,99.5452112042,0,6.3008204896,9.3143584308,4.6408303628,10.6244428192,20.9175241082,65.8121878111,7.2060283748,20.6845180768,8.7971868822
Veracruz,16.8585922956,28.512010435,96.5315199867,53.370736671,26.2411347518,4.958677686,47.1428571429,9.8130841121,61.2658227848,19.7058399314,97.177391033,11.3660333518,100,24.5614035088,8.2167365096,8.5050136854,3.4296355994,23.7425806831,26.8433955424,36.1465131377,44.9460441008,7.0918233777,15.6350963807,42.2504222055,28.7892680071,36.2834049888,45.7934987908,37.4096851353,28.6123037193,48.8372093023,43.9714207464,47.3404255319,83.2335329341,16.2762262725,68.0365640999,1.7680623943,98.2531758478,57.3723650462,73.7510284963,58.5365853659,8,0,68.8581314879,98.4260988417,71.1269705506,16.8156808803,18.9564466104,29.5566889116,#DIV/0!,27.0418537594,71.0139181531,40.3456063042,8.2182790144,100,16.4107485605,31.7205771306,21.1755626163,22.410269577,17.2607581088,99.5939675174,0,6.5115102345,15.2542372881,14.526921464,36.9484914023,10.702751863,15.9048483902,18.1168095625,19.5773491427,82.6039042352,89.6707496162,99.8714411202,46.6407107917,59.3778711117,72.5277620773,16.7536889542,67.0037901409,0,666.4586819434,99.7923206775,0.8661053493,7.2481649696,6.0847215776,2.8921931018,8.9120077829,29.7134646952,59.5525881578,6.6679371226,11.789594778,6.3769146939
Yucatán,20.4180929097,17.9247999334,92.5770509021,66.4395779325,84.3971631206,54.5454545455,21.4285714286,22.4299065421,98.0379746835,49.6329540759,100,2.7130933498,100,91.2280701754,6.8607348727,0.7039909775,0,7.6189587839,0.062151477,57.1894219219,60.8038569434,79.0948384055,59.7996152031,12.0926788048,42.0558111538,45.4078843496,77.7015380744,66.1364519706,17.8152073372,58.3333333333,31.031353508,17.5531914894,37.125748503,9.7562486669,70.2626652457,5.5422096762,88.7156308926,88.2983114987,73.0144609442,88.8653234358,85.0909090909,0,100,37.1504084841,92.3874120442,26.1348005502,0,41.9056667946,#DIV/0!,45.9278451292,31.8342693584,15.1460866302,45.0951710061,14.3804488197,28.4069097889,47.6648925366,34.4713112595,37.2512317348,6.4331933589,99.7099767981,90.8204734981,14.2843734151,11.8644067797,6.4032882578,20.3475972032,21.5271465193,28.7265993105,42.8734848665,14.1841647551,64.0589498034,92.8861911957,99.4614327154,55.1063192573,71.8729492059,95.360118157,100,86.8115477581,0,597.797023526,99.6608888085,5.6755582896,13.342478935,6.8641753126,2.2800735169,11.9833789803,12.3518959706,79.1607767376,12.7540809351,5.3461677876,23.1405902231
Zacatecas,25.0050969442,20.5896639936,86.5281780321,44.3405902382,78.7234042553,34.7107438017,82.8571428571,23.3644859813,93.9240506329,49.193679473,93.9766271405,8.1374220894,61.7637167241,92.9824561404,0,8.1750673913,0.3282764736,93.0735298555,3.4502701863,52.7372332682,20.8587957867,72.7723541403,79.2645297129,51.9943782123,47.0873920524,53.1223718182,61.4598315998,49.440651183,29.0523144601,71.7948717949,78.7128430637,35.1063829787,68.8622754491,11.6678833169,79.7791347726,51.1205306944,79.4277867221,82.3245000112,84.9268636662,88.0169671262,81.4545454545,0,44.2906574394,44.7935912239,92.0168545644,29.9174690509,7.1685527856,32.9328289924,#DIV/0!,24.5793936242,33.5917218471,14.4650932762,51.8168119071,19.1937372512,0,18.3340163889,34.3570419962,33.7979997667,9.8945812511,98.4918793503,7.9685847198,6.2833050847,8.4745762712,7.9650930804,36.7729037705,21.5312142537,20.6525369639,12.7697437588,3.7306407128,59.6216698608,93.5691168409,99.6840502107,62.823200559,74.9967187295,81.0014769942,38.232237246,90.784025365,95.0896982006,340.3158044608,99.850532727,0.2547505718,11.0915856566,8.3093436563,100,17.7928696431,22.3198625203,57.3258587708,5.8415037861,5.1235835785,11.8725016328
Aguascalientes,3.3796867258,48.6243886274,27.8008298755,21.4591060234,24.132244335,0,57.7934299543,49.8007261477,8.164556962,72.6912981167,96.3012350981,91.0404762784,58.7954521479,82.6086956522,4.4534754368,38.0667069334,0.1907141041,0,30.3120101972,100,32.5606121667,94.2675528974,67.5930374367,79.0002050011,72.4152031173,69.2039684043,82.5574928783,60.9970728344,61.6228207276,71.7948717949,92.0987248429,62.7779632862,63.3744716106,27.4403169254,61.010512498,13.1614737013,78.8052084573,48.4223683537,67.2661474827,56.1855670103,83.5249042146,0,40.5190311419,18.8299351024,36.2867139377,38.3922134102,21.3639088115,70.2104858648,#DIV/0!,58.2321479804,20.7121277132,29.0185511854,20.3526183759,6.8322179921,26.4925373134,89.2219435227,61.1902637073,32.6042020838,13.8540241065,99.8940158788,0.0005543757,10.6025341669,9.009009009,19.8292249768,42.8556887438,18.3361836488,28.5544336255,30.6399727837,50.0177777778,71.1893899484,94.4784183439,100,58.7255420412,95.4652071931,76.6528682587,41.435090208,94.9351910311,100,770.9991535573,99.959013902,0.1843482063,5.8656168827,40.8871539092,26.1408433628,11.6995670688,35.2883729001,56.218037274,13.2924454708,12.4010874709,9.6619102439
Baja California,10.2568578492,39.4362500457,54.7717842324,17.7820999614,69.0617920852,39.141498513,70.1802467592,100,61.2658227848,19.2548002268,56.4596867935,23.968432126,41.9474251117,86.9565217391,46.5328415534,34.1210593265,0.3952326303,78.1456953642,51.3011386584,95.8213272703,78.7968285723,60.6216157406,90.1326730478,88.0496062673,98.4278778693,19.0824624977,100,53.9512738568,29.2931159825,50,85.5342457788,57.7181045445,1.971241942,37.9880321089,45.7438716257,19.95226079,90.0068628361,36.8770947038,39.9261527983,45.3608247423,46.3601532567,0,0,36.5253198432,32.0836252697,73.2516222062,77.9270729297,72.8029665028,#DIV/0!,72.5671282754,16.0270255905,18.6353329336,7.1897160616,8.3698597008,37.1268656716,75.1474132316,82.762939399,34.354019152,23.4077254957,28.2482598608,0.0004912392,17.8127141786,29.7297297297,18.3814060107,13.8158451085,5.456712938,49.5244978337,36.0361219568,19.6621753837,11.5283139247,87.218627078,99.4497476282,64.2781597039,68.178264269,86.3556704068,64.3012321516,95.8931255398,0,1326.3087978806,100,10.0007033291,14.3282477117,96.2236145292,47.7295256718,17.9049043968,26.6610112347,66.6920788317,13.1856931991,24.916155309,21.8769507198
Baja California Sur,0.6347517784,52.4507722928,60.5809128631,98.796217489,94.5206998359,67.6024835277,100,82.6571610788,100,2.9804730613,96.1639979405,0.1949599159,41.9474251117,91.3043478261,20.5514480023,14.6798588612,0.2651393925,82.119205298,9.0853678871,82.0875718709,82.5099954957,32.4967078803,89.4563731106,66.1366726144,100,85.4424102279,83.9249814602,21.7005055808,21.948407506,0,94.0003862579,93.6421551877,21.0387289799,15.4161036257,38.9377238872,16.7678987086,0,36.5310660278,100,50.147275405,50.9578544061,0,42.5605536332,53.8544331578,33.9568555297,100,100,72.2242503366,#DIV/0!,79.5628400834,23.311859135,31.3478934342,0.5107443845,7.4842767667,100,69.1012589888,84.8117989209,36.7197148813,2.0153183629,99.6519721578,28.7360005906,100,43.2432432432,65.7126533114,33.3186199252,49.9201045108,77.4061270446,63.7526502069,19.0247893648,0,92.0584879219,99.2973840176,0,0,41.0386092534,0,94.5061251075,0,100,99.9925096852,22.6263805285,69.0306702227,3.0039471575,58.5886764989,100,17.2067125609,74.9642033411,6.7117328155,12.0859012755,45.0622110994
Campeche,2.2505170332,28.0087524961,78.0082987552,76.3512650198,28.0171390113,20.350104574,98.0711297069,0.7101153793,30.6329113924,100,94.9694186406,0.8906684505,100,91.3043478261,13.4599781524,38.2921473424,0.1057339908,0,0.1418228169,43.9273587194,59.5346353188,73.4635640152,56.9274548209,34.0138560652,76.6777916017,92.6483061218,92.2747829621,39.0936143023,76.962636418,0,47.8058790989,47.2070180721,30.0854380936,26.4510577512,44.0979749643,25.792594738,95.7197676812,100,0,100,100,0,59.7654662121,34.4805687194,34.1510128952,36.085075703,12.5872427954,48.7784324782,#DIV/0!,0,0.3284926148,100,8.7379847043,6.4975259784,32.7425373134,49.2027630688,37.7386637868,0,0,99.1299303944,19.3383450641,78.4000474726,11.7117117117,59.3623413261,69.7229214938,24.2736817134,26.870054016,0,9.7476051068,50.154441931,94.0144198854,99.8594404832,29.3495505024,63.6434714621,70.4559258454,31.6117190637,81.7706095174,0,1603.9636200422,99.953617194,0.388178875,0,1.9506641783,14.468381356,21.9197908726,100,0,19.069846976,40.8154116951,11.2493744059
Chiapas,2.4868880813,3.8435296478,100,63.314484165,54.9487353838,44.9720348712,0,38.6312725339,42.8481012658,38.396786798,91.1060990264,13.4073729341,100,73.9130434783,31.6709661141,11.160241543,2.4545295475,72.8476821192,8.2205358698,28.0758270351,13.3465732577,12.7970213553,21.918770095,18.9339777314,29.8752924342,4.6876829292,51.6853136971,0,100,42.4242424242,6.2609610555,62.2705838053,43.6753837298,6.4719129231,0,0.5305479434,85.9914534711,0,57.1144510801,60.0147275405,32.183908046,0,14.1868512111,46.6344849549,35.1266632561,58.0389329488,14.4793913013,0,#DIV/0!,28.9402325437,5.6878620974,0.8401689537,5.4902608828,0.6659813743,0.3731343284,1.8709895363,0,36.2282247588,7.4360182303,99.535962877,100,5.9178361777,8.1081081081,16.9402600528,100,3.9823128176,0,22.0188357191,22.9109268332,78.6853347358,93.4433448596,99.9355314878,43.6012691698,40.9108678655,85.6344041573,31.6117190637,35.7053243927,10.2071101338,1441.9983071146,99.9616670936,0.4497630614,10.0156128772,0.3473533575,9.4913916716,3.5544439579,15.3955842158,67.4162667436,0.8419491256,3.8673923596,4.3346430301
Chihuahua,13.4255132214,55.113137404,61.4107883817,3.4821923515,70.3236198857,26.9350454554,71.983235591,0,4.1139240506,17.4488517768,0,0.3629962041,41.9474251117,82.6086956522,4.3521138162,100,0.2096358398,67.5496688742,54.2396777815,83.6854606826,55.4271272094,83.9757171309,81.9209874718,100,74.0383903913,37.9654496231,76.0182478547,45.6630555535,40.233092792,43.75,93.1045951231,61.2589964408,15.0051921732,24.567636285,57.3665377902,37.6620550667,80.9591696005,15.0101817003,42.0339631583,20.2503681885,69.3486590038,0,12.4567474048,20.7657978988,33.076165957,55.6236481615,22.9161416525,55.876983445,#DIV/0!,57.0716563736,16.5342068469,21.8323305992,38.4395780571,4.95028153,33.5820895522,61.9644962134,60.6641069724,29.9907879516,44.7553301876,90.6032482599,0.0233565566,15.3218049687,22.5225225225,0,37.1561341332,0,48.5437519745,33.1810453168,2.2736547778,59.4257801853,89.2959124845,99.7248738141,35.7218402961,81.821735731,46.9343463563,31.6117190637,88.5086730509,0,1326.3087978806,99.9932466867,1.9666504354,13.4971983372,100,76.2469514236,10.3228959492,28.4029320908,62.4731440429,31.3286507732,100,7.2297209184
Coahuila,14.6460083016,70.9411673432,75.9336099585,51.3888061256,61.3491356498,55.4892492268,68.0248309153,54.211176394,10.253164557,36.4570774626,92.1698701818,100,0,69.5652173913,9.9534914406,9.1243685682,0.2305812771,3.9735099338,36.5349841966,72.6411158133,53.5586906946,94.9235827079,47.7696884586,95.7958298225,80.6072061592,51.4240427953,86.155304388,37.3939706714,5.9532479089,46.6666666667,96.7595320059,72.9098321937,43.3298778487,9.022862762,47.7157252305,27.2286818436,85.4673779526,89.3387629158,28.8583415728,88.5861561119,54.4061302682,100,41.5224913495,22.5895652368,35.1232484042,0,28.3694116632,74.6702219729,#DIV/0!,49.7791355229,25.5489546693,38.2429956662,21.361029905,7.9659777881,43.8432835821,80.7535590323,58.6238899791,26.258521911,29.2346101111,97.0417633411,0.0094389978,6.3233503931,10.8108108108,16.803070169,20.4548238959,24.1913038698,49.5820746952,32.1605696761,9.2888507379,62.0387248054,92.861562177,99.4085241006,15.7324167107,40.9108678655,63.1492494415,8.8370875883,77.7558710104,10.7699805232,1603.9636200422,99.9664467427,9.5402310399,8.0419646317,26.8436878868,17.4821510405,16.2728030841,40.7009550556,54.5887734403,28.8695127843,14.0307841121,10.8558079738
Colima,0.0977679852,32.768494426,78.8381742739,91.7656432373,68.8587488302,40.6313179676,35.8134881784,60.0236186908,8.2278481013,63.5733337705,92.281767108,17.3186988601,58.7954521479,89.1304347826,51.3366514833,7.7400380605,0.7800951458,68.8741721854,9.8554352136,50.0209915652,69.500565826,91.2743831837,73.5836505414,19.1047062762,84.9383125119,100,46.5156787651,55.2365403722,28.960204017,38.8888888889,76.1661315065,71.0103354535,94.2722132068,27.8345846185,29.3116173533,9.6161162785,78.4365244703,51.5059434816,61.6249054678,69.8085419735,65.1340996169,0,68.5121107266,36.5446459775,35.112341906,54.902667628,36.0963809764,63.6824875027,#DIV/0!,61.8431074713,25.2556578005,22.9413089629,19.2985950194,7.5701369616,46.921641791,65.6658267317,61.5232494619,32.3717119403,32.0331328869,95.5916473318,0.0006389617,17.9132124007,6.3063063063,10.5365467676,33.4933608505,100,57.0655364173,35.5114887066,100,15.5967408132,92.7473471719,99.7717269863,37.4933897409,68.178264269,91.3816170601,2.3108016775,48.8737597789,0,2089.8595588251,99.9912788491,1.4139734102,21.2137736774,0.9514424017,16.8294000904,35.3719684581,12.5508110147,73.3279530312,6.3149645112,1.854603777,24.9575127487
Distrito Federal,100,100,0,0,60.4497087112,39.075025659,44.7430841173,24.8142792558,85.7594936709,13.6354704374,91.3855608214,9.4996969729,53.9800494102,73.9130434783,0.5250315702,18.6600668575,100,38.4105960265,30.0857977093,100,100,100,92.7861340035,54.8620365661,84.851754258,92.4322640362,89.9039032836,94.9815001589,0,65.7276995305,96.77703362,35.0557091066,22.2608434012,13.2011858041,76.0904204203,15.3762472035,65.1832607885,45.933359957,54.5847723256,31.8114874816,0,0,91.6955017301,41.0665186478,100,79.8846431146,85.6035178701,100,#DIV/0!,24.7387861096,13.1715656762,45.0694625653,6.1396690981,7.8285905233,45.8955223881,82.1706986654,100,100,100,97.8538283063,23.0698197691,37.1432271371,100,49.0350141079,0,17.5259574,100,100,42.5578581153,100,91.5980586824,99.1390275594,72.4748810153,50,0,31.6117190637,69.8751627193,26.1038114004,3825.2021973354,99.9410302443,23.5298521563,8.1058046499,29.1386521106,100,21.3111413797,2.2388348903,100,100,33.0210481202,100
Durango,4.1906667896,29.9222131594,73.4439834025,19.2198921498,86.6994682595,51.6605191313,68.0674945079,48.7819287534,14.3037974684,35.6452335552,39.2911290542,0.3845499816,0,100,2.8035079771,40.6422407079,0.4134918904,94.0397350993,28.9580700981,78.7933322149,29.3173403307,86.4177691984,36.0730256107,74.0883336917,54.1951768397,73.4978519122,78.897390506,30.1735909766,65.2234424458,58.3333333333,100,72.9667483267,12.1332396514,16.8645332129,46.9892923409,15.0947075912,54.598354832,42.5364428903,57.6398200509,50.88365243,45.9770114943,0,33.9100346021,22.1175569198,35.1851479868,33.1651045422,10.2620640354,53.0790566575,#DIV/0!,32.0496107375,8.0542289199,13.1162283666,38.9742761561,3.424896325,0.3731343284,48.5935202285,40.8432764337,23.6577186623,15.0568432133,99.8259860789,0.4906876463,11.8942467191,8.1081081081,30.6404012224,22.3734537675,34.7943981459,19.3739712753,16.4247957625,2.2805936758,43.7433196828,84.5738358646,99.1798878841,54.9973558964,86.3760750586,70.6852486811,86.5495589885,84.3736712536,0,585.8959387829,99.9474469425,0.0410724618,6.432491193,9.0803550039,17.3141164576,5.2890434866,28.6210038686,54.7296709372,9.7904337579,10.2253483459,5.7196202227
Guanajuato,17.2206580451,11.9828052968,65.1452282158,44.9202480499,93.1461543428,100,55.5292223447,68.8286050688,46.9620253165,43.1925876652,92.6554774295,37.6560663882,58.7954521479,43.4782608696,3.6307291075,0,0.2350573252,5.298013245,40.1441016159,71.1772111778,25.2699105395,82.5919070423,69.4630252411,48.2894822564,48.6372404077,21.020253093,49.1297117476,71.2196152294,22.9760956098,58.3333333333,51.4745815885,55.6874620217,22.2075540201,8.9641213998,45.9820712648,9.6331880953,90.8412592659,66.7090505914,52.6285747818,70.618556701,58.2375478927,0,50.1730103806,0,55.9580392346,27.2530641673,20.8630357019,34.1581747829,#DIV/0!,44.1733549343,13.1402552389,15.3189444547,16.4945488725,3.498282695,21.921641791,41.4865736685,53.0442780691,40.2916686272,14.4624277479,97.8538283063,0.0002637691,5.8568329356,16.2162162162,4.5649331216,13.5004208753,13.6896581099,36.0321430706,24.0925288033,18.3762777179,69.9319206203,100,99.7366779079,37.9164463247,54.5543393276,68.0159949999,31.6117190637,100,0,1441.9983071146,99.9187333557,1.2107676507,8.1630635725,8.104947888,15.0734754236,13.6716102508,32.2282734265,62.0583753657,30.0893008961,6.4295419284,14.3508098776
Guerrero,3.7285567754,10.4237948709,93.77593361,27.4485064937,46.3658298929,37.5893120492,89.8429496307,28.7302557195,48.9873417722,23.3784386932,46.5047595832,4.1940096766,100,84.7826086957,0.0979533787,5.0567867506,6.1059389523,33.1125827815,24.20075293,42.5275517561,0,0,0,0.9133294002,20.0865911789,23.5590063815,54.1734434336,70.0234658658,4.2177048318,16.6666666667,0,20.6850472825,47.1378308208,5.3502619097,15.0947147015,4.9671928581,88.5118306649,57.6559076737,54.1851025644,74.3004418262,65.5172413793,0,45.4296552422,24.1316534503,34.868711143,23.1795241528,12.4625871621,15.6695534417,#DIV/0!,38.0673001072,2.9214549562,0,4.6372808883,3.142291816,5.5037313433,23.2890965326,33.7197544799,33.2108352558,8.0406442754,98.6078886311,0.0011987362,13.8697350522,31.5315315315,67.9496031053,22.4025909666,22.4060832197,13.8440482357,28.7580317706,8.8449809802,37.3450815391,87.8004097605,99.3616709284,64.3839238498,54.5543393276,91.6642580525,41.9405893987,87.6925321208,41.3098177603,3385.5820622461,99.8928800036,6.4405099945,36.1701287871,0,11.0563131205,35.2566080587,5.3611026084,81.4611666533,1.2083358357,0,0
Hidalgo,5.4693052707,27.3366143995,93.3609958506,77.066268368,66.8154229397,58.0867345399,72.1858333697,58.1212029868,24.5569620253,70.6426211102,96.18809301,22.5343994317,53.9800494102,80.4347826087,4.9331716677,5.5637490376,1.3290828813,64.9006622517,1.9194713186,26.6390274752,39.2369911788,74.3242368921,48.8340293433,31.3070911062,55.8091794899,39.7987395411,48.8699423022,48.161592228,39.3870566306,21.2121212121,52.8759529832,100,25.6727392074,19.3705462077,34.6861652804,4.6335372578,89.1355519966,51.4897816465,70.6786528954,64.4329896907,63.9846743295,0,17.3010380623,22.4414358846,34.8927642742,32.0836337419,11.8287213229,40.6401094207,#DIV/0!,59.2240360266,11.1932852363,10.5162449752,4.8912911794,1.0541110042,35.7276119403,0,11.9677044803,28.9629307427,24.0635867797,100,0.6479519293,0,0,18.3506316569,36.1985232335,16.534763416,20.295936435,23.9561842591,13.4901227465,35.7371473439,91.8264886927,99.5959367897,57.6414595452,36.3565285379,78.1155004973,1.9262433589,94.1545383472,6.9078474586,2367.5143809868,99.9235682799,24.8984032468,1.6194856962,3.0362538977,9.4042985323,8.5199764445,39.8991825702,51.9154541945,10.9694542123,9.2272922529,11.2796095633
Jalisco,27.8360865713,28.6531355283,66.3900414938,58.2681808785,35.6418429161,16.5225361474,77.9085890219,58.1880037096,26.582278481,0,92.6997455107,9.8690868222,58.7954521479,73.9130434783,3.7767890865,17.0921755658,0.6161235913,50.3311258278,31.9431115426,81.0712179799,48.5608540644,76.2444510212,67.4452123138,51.7974182632,81.9262196404,47.5941419872,60.1492488913,76.0359202735,13.1628553238,27.4509803922,80.5551828946,32.5557162453,100,15.534955141,62.7148041136,11.2484570515,73.616818923,35.3347581396,49.0635633675,44.9926362297,44.8275862069,0,70.2422145329,51.9054567156,32.3623679893,55.9480894016,19.2893742705,58.0707938537,#DIV/0!,53.9554286615,11.2156860274,14.708359943,27.1369315477,8.9163153869,37.6865671642,81.2865756116,26.6134596885,50.0151594064,18.7172291714,93.6194895592,0,24.9422189398,90.990990991,3.7872168249,1.0797827427,14.6092399759,61.7805496459,42.6681498734,7.156301666,64.8397255425,92.176272146,99.1860623331,35.8276044421,100,51.8585504566,29.399113615,84.1005636325,0,2066.7216569783,99.9406131917,0.9525943901,16.5636106946,40.2117977702,29.9391211568,14.8599566648,19.9847660188,72.8794156777,35.1542154997,10.7604675601,16.6167435123
